Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/12/2022,10/12/2022,AMZN Mktp US*1K7LV2RV1,Shopping,Sale,-13.77,
10/11/2022,10/12/2022,AMZN Mktp US*1K16D4G02,Shopping,Sale,-43.98,
10/11/2022,10/12/2022,AMZN Mktp US*1K1BM5PR2,Shopping,Sale,-10.59,
10/09/2022,10/10/2022,SUNOCO 0512985302,Gas,Sale,-74.91,
10/07/2022,10/09/2022,TST* Tersiguels French C,Food & Drink,Sale,-280.00,
10/07/2022,10/07/2022,Amazon.com*1K9341T60,Shopping,Sale,-16.44,
10/05/2022,10/06/2022,AMZN Mktp US*141J647X1,Shopping,Sale,-11.61,
10/04/2022,10/05/2022,AMZN Mktp US*145WU4KV1,Shopping,Sale,-8.97,
10/03/2022,10/04/2022,AMZN Mktp US*146N79561,Shopping,Sale,-10.59,
10/02/2022,10/03/2022,Amazon.com*146JP4HH0,Shopping,Sale,-573.58,
10/02/2022,10/02/2022,Blink,Shopping,Sale,-3.18,
09/30/2022,10/02/2022,Amazon Digit*143WI8EV0,Shopping,Sale,-0.85,
09/30/2022,09/30/2022,GROCERY WEEE!,Groceries,Sale,-103.34,
09/28/2022,09/29/2022,Amazon.com*1U4TW62P2,Shopping,Sale,-25.29,
09/28/2022,09/29/2022,TRADER JOE'S #658  QPS,Groceries,Sale,-48.90,
09/28/2022,09/29/2022,Amazon.com*1426G7CN1,Shopping,Sale,-34.75,
09/27/2022,09/28/2022,AMZN Mktp US*1U5OJ97Q0,Shopping,Sale,-22.10,
09/27/2022,09/27/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,30.24,
09/25/2022,09/26/2022,WHOLEFDS KMQ #10499,Groceries,Sale,-79.20,
09/25/2022,09/26/2022,Amazon.com*1U8HY0HT1,Shopping,Sale,-27.50,
09/25/2022,09/25/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-19.82,
09/24/2022,09/25/2022,Amazon.com*1U7N65170,Shopping,Sale,-12.56,
09/24/2022,09/25/2022,Amazon.com*1U0DJ2LK2,Shopping,Sale,-30.15,
09/22/2022,09/22/2022,Payment Thank You-Mobile,,Payment,500.00,
09/18/2022,09/19/2022,Amazon.com*1M4QY6352,Shopping,Sale,-36.24,
09/17/2022,09/19/2022,HWA GAE JANG TUH,Food & Drink,Sale,-110.00,
09/19/2022,09/19/2022,Amazon.com*1M9TW6E52,Shopping,Sale,-46.62,
09/14/2022,09/15/2022,Amazon.com*1M8FV60U1,Shopping,Sale,-12.70,
09/10/2022,09/11/2022,Amazon.com*1F1357PW0,Shopping,Sale,-21.11,
09/08/2022,09/09/2022,Amazon.com*1F3S32V71,Shopping,Sale,-69.37,
09/07/2022,09/08/2022,COSTCO WHSE #1000,Shopping,Sale,-135.71,
09/07/2022,09/07/2022,AMZN Mktp US*1F8S79EQ1,Shopping,Sale,-34.97,
09/06/2022,09/06/2022,RED PEPPER SICHUAN BISTR,Food & Drink,Sale,-65.58,
09/04/2022,09/05/2022,LITTLE MARKET CAFE,Food & Drink,Sale,-50.40,
09/02/2022,09/02/2022,Blink,Shopping,Sale,-3.18,
09/01/2022,09/02/2022,AMZN Mktp US*1V6EC9S51,Shopping,Sale,-10.59,
08/31/2022,09/01/2022,AMZN Mktp US*1V78055Z1,Shopping,Sale,-17.95,
08/31/2022,09/01/2022,ALEXA SKILLS*PR3603DJ3 AM,Shopping,Sale,-0.85,
08/30/2022,08/31/2022,YAMIBUY,Shopping,Sale,-112.37,
08/30/2022,08/31/2022,COSTCO GAS #1000,Gas,Sale,-58.88,
08/30/2022,08/31/2022,BAY WINDS APPLIANCE,Home,Sale,-289.00,
08/27/2022,08/29/2022,HOT POT HERO.,Food & Drink,Sale,-97.37,
08/28/2022,08/29/2022,AMZN Mktp US*A379061E3,Shopping,Sale,-27.55,
08/27/2022,08/28/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,31.72,
08/25/2022,08/26/2022,Amazon.com*8J2W360K3,Shopping,Sale,-21.19,
08/24/2022,08/24/2022,Amazon.com*868XD67O3,Shopping,Sale,-8.47,
08/23/2022,08/24/2022,Amazon.com*SN2R440B3,Shopping,Sale,-14.83,
08/21/2022,08/22/2022,Amazon.com*Z00SO1983,Shopping,Sale,-23.99,
08/21/2022,08/22/2022,Amazon.com*OL4Y46KO3,Shopping,Sale,-23.08,
08/22/2022,08/22/2022,Payment Thank You-Mobile,,Payment,1200.00,
08/21/2022,08/22/2022,WHOLEFDS KMQ #10499,Groceries,Sale,-91.63,
08/19/2022,08/21/2022,Amazon.com*1S8701G60,Shopping,Sale,-25.92,
08/19/2022,08/21/2022,Amazon.com*HZ5H49ZU3,Shopping,Sale,-44.80,
08/17/2022,08/18/2022,AMZN Mktp US*LG7C27OB3,Shopping,Sale,-27.63,
08/13/2022,08/14/2022,THE SPOT FOOD HALL,Food & Drink,Sale,-16.93,
08/12/2022,08/14/2022,LENSCRAFTERS.COM,Health & Wellness,Sale,-301.49,
08/13/2022,08/14/2022,SQ *HAIR DESIGN ZONE,Personal,Sale,-138.00,
08/12/2022,08/12/2022,AMZN Mktp US*G41M17TD3,Shopping,Sale,-21.15,
08/09/2022,08/10/2022,Amazon.com*IC5EL5F63,Shopping,Sale,-5.97,
08/07/2022,08/09/2022,MAMA CHANG.,Food & Drink,Sale,-76.70,
08/05/2022,08/08/2022,EAST DUMPLING HOUSE,Food & Drink,Sale,-68.45,
08/06/2022,08/08/2022,LARRILAND FARMS,Shopping,Sale,-15.00,
08/06/2022,08/08/2022,LARRILAND FARMS,Shopping,Sale,-10.00,
08/04/2022,08/04/2022,AMZN Digital*M15TT6SR3,Shopping,Sale,-8.47,
08/02/2022,08/03/2022,Amazon.com*Q35DB0LF3,Shopping,Sale,-5.28,
08/02/2022,08/02/2022,Amazon.com*672541MN3,Shopping,Sale,-5.29,
08/02/2022,08/02/2022,AMZN Mktp US*2G44J0BB3,Shopping,Sale,-10.55,
08/02/2022,08/02/2022,Blink,Shopping,Sale,-3.18,
07/31/2022,08/01/2022,ALEXA SKILLS*F36002293 AM,Shopping,Sale,-0.85,
07/30/2022,08/01/2022,MAPLE LAWN B P,Automotive,Sale,-2.00,
07/31/2022,08/01/2022,PEPPER HOUSE,Food & Drink,Sale,-50.85,
07/31/2022,07/31/2022,Amazon.com*2H27F6BG3,Shopping,Sale,-45.01,
07/29/2022,07/31/2022,Amazon.com*M873X2CZ3,Shopping,Sale,-38.37,
07/28/2022,07/29/2022,Amazon.com*K98SA9NZ3,Shopping,Sale,-6.73,
07/26/2022,07/28/2022,MVA WHITE OAK,Bills & Utilities,Sale,-18.78,
07/26/2022,07/27/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,76.36,
07/26/2022,07/27/2022,AMZN Mktp US*1C8NQ1DT1,Shopping,Sale,-30.20,
07/25/2022,07/27/2022,MAPLE LAWN B P,Automotive,Sale,-2.00,
07/25/2022,07/26/2022,Amazon.com*304BR96M3,Shopping,Sale,-10.58,
07/25/2022,07/25/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-19.12,
07/23/2022,07/24/2022,Amazon.com*5A8PC4093,Shopping,Sale,-36.24,
07/22/2022,07/24/2022,Amazon.com*5Z50B4FJ3,Shopping,Sale,-11.65,
07/23/2022,07/24/2022,GOOD HARVEST ROCKVILLE,Food & Drink,Sale,-99.00,
07/20/2022,07/21/2022,Amazon.com*VW7JZ1V83,Shopping,Sale,-18.85,
07/20/2022,07/20/2022,Payment Thank You-Mobile,,Payment,2000.00,
07/18/2022,07/19/2022,BP#9323015MAPLE LAWN BP,Gas,Sale,-30.47,
07/19/2022,07/19/2022,Prime Video *7F4G329T3,Shopping,Sale,-21.19,
07/17/2022,07/18/2022,AMZN Mktp US*AE06I33C3,Shopping,Sale,-21.19,
07/16/2022,07/18/2022,TRATTORIA DA LINA,Food & Drink,Sale,-104.00,
07/16/2022,07/17/2022,Prime Video *OX9MW6G13,Shopping,Sale,-6.35,
07/16/2022,07/17/2022,TST* BEN GONG'S TEA - GAI,Food & Drink,Sale,-11.56,
07/16/2022,07/17/2022,AMZN Mktp US*F48RY6183,Shopping,Sale,-10.59,
07/15/2022,07/17/2022,AMZN Mktp US*IV6416KQ3,Shopping,Sale,-19.07,
07/14/2022,07/15/2022,AMZN Mktp US*576WA67O3,Shopping,Sale,-9.74,
07/13/2022,07/14/2022,Amazon.com*ZK6HR6OR3,Shopping,Sale,-413.39,
07/14/2022,07/14/2022,Amazon.com*OZ59L3RU3,Shopping,Sale,-74.31,
07/13/2022,07/14/2022,Amazon.com*PD1054KU3,Shopping,Sale,-9.17,
07/12/2022,07/13/2022,Amazon.com*IJ2LO6833,Shopping,Sale,-50.00,
07/11/2022,07/12/2022,Amazon.com*A55QZ1AP3,Shopping,Sale,-41.34,
07/11/2022,07/12/2022,AMZN Mktp US*N65CT2IE3,Shopping,Sale,-13.77,
07/09/2022,07/10/2022,Amazon.com*QP56R3273,Shopping,Sale,-10.75,
07/08/2022,07/10/2022,COSTCO GAS #1000,Gas,Sale,-51.01,
07/08/2022,07/08/2022,AMZN Mktp US*KB0KN5T53,Shopping,Sale,-28.08,
07/06/2022,07/07/2022,AMZN Mktp US*K09KJ3UW3,Shopping,Sale,-21.31,
07/04/2022,07/05/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,40.93,
07/03/2022,07/05/2022,KIM BAB NA  RA,Food & Drink,Sale,-50.28,
07/02/2022,07/03/2022,SQ *BREWING GOOD COFFEE C,Groceries,Sale,-33.50,
07/02/2022,07/03/2022,AMZN Mktp US*BE1746VH3,Shopping,Sale,-9.53,
07/02/2022,07/03/2022,Blink,Shopping,Sale,-3.18,
07/01/2022,07/03/2022,AMZN Mktp US*X57SU4XG3,Shopping,Sale,-14.83,
07/02/2022,07/03/2022,TST* BEN GONG'S TEA - ELL,Food & Drink,Sale,-7.15,
07/01/2022,07/03/2022,HOT POT HERO.,Food & Drink,Sale,-82.42,
06/30/2022,07/01/2022,ALEXA SKILLS*HS8L24ZP3 AM,Shopping,Sale,-0.85,
06/30/2022,07/01/2022,Amazon.com*5T13P9NR3,Shopping,Sale,-21.19,
06/29/2022,06/30/2022,Amazon.com*TS5PM3EL3,Shopping,Sale,-7.69,
06/26/2022,06/28/2022,THE HOME DEPOT #2575,Home,Sale,-16.88,
06/26/2022,06/26/2022,Prime Video *6358915K3,Shopping,Sale,-4.23,
06/24/2022,06/26/2022,AMZN Mktp US*XK6022ZO3,Shopping,Sale,-22.48,
06/24/2022,06/24/2022,PROMOTION INTEREST CHARGE,Fees & Adjustments,Fee,-3.75,
06/24/2022,06/24/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-10.65,
